# track_id_origen;track_id_destino;peso
7iL6o9tox1zgHpKUfh9vuC;4xqrdfXkTW4T0RauPLv3WA;1.000
7iL6o9tox1zgHpKUfh9vuC;3F5CgOj3wFlRv51JsHbxhe;1.000
7iL6o9tox1zgHpKUfh9vuC;03a359wbiUsjN9h6yzXvmS;1.000
7iL6o9tox1zgHpKUfh9vuC;58HvfVOeJY7lUuCqF0m3ly;1.000
7iL6o9tox1zgHpKUfh9vuC;7lQ8MOhq6IN2w8EYcFNSUk;1.000
7iL6o9tox1zgHpKUfh9vuC;7w87IxuO7BDcJ3YUqCyMTT;1.000
7iL6o9tox1zgHpKUfh9vuC;3B54sVLJ402zGa6Xm4YGNe;1.000
7iL6o9tox1zgHpKUfh9vuC;3FAJ6O0NOHQV8Mc5Ri6ENp;1.000
7iL6o9tox1zgHpKUfh9vuC;0qOnSQQF0yzuPWsXrQ9paz;1.000
7iL6o9tox1zgHpKUfh9vuC;4LRPiXqCikLlN15c3yImP7;1.000
7iL6o9tox1zgHpKUfh9vuC;2gYj9lubBorOPIVWsTXugG;1.000
7iL6o9tox1zgHpKUfh9vuC;68Dni7IE4VyPkTOH9mRWHr;1.000
7iL6o9tox1zgHpKUfh9vuC;5uCax9HTNlzGybIStD3vDh;1.000
7iL6o9tox1zgHpKUfh9vuC;6xGruZOHLs39ZbVccQTuPZ;1.000
7iL6o9tox1zgHpKUfh9vuC;7KXjTSCq5nL1LoYtL7XAwS;1.000
7iL6o9tox1zgHpKUfh9vuC;7qEHsqek33rTcFNT9PFqLf;1.000
7iL6o9tox1zgHpKUfh9vuC;38T0tPVZHcPZyhtOcCP7pF;1.000
7iL6o9tox1zgHpKUfh9vuC;6i1g5ZRmJZAkDwBaUZ3f2i;1.000
7iL6o9tox1zgHpKUfh9vuC;5ww2BF9slyYgNOk37BlC4u;1.000
7iL6o9tox1zgHpKUfh9vuC;6FE2iI43OZnszFLuLtvvmg;1.000
7iL6o9tox1zgHpKUfh9vuC;5jt25aFjW2kNoBqaEVaz5W;1.000
7iL6o9tox1zgHpKUfh9vuC;6foY66mWZN0pSRjZ408c00;1.000
7iL6o9tox1zgHpKUfh9vuC;3cBsEDNhFI9E82vPj3kvi3;1.000
7iL6o9tox1zgHpKUfh9vuC;5uU1uuyaUIBOiiUSQG7Wl3;1.000
7iL6o9tox1zgHpKUfh9vuC;3Wrjm47oTz2sjIgck11l5e;1.000
7iL6o9tox1zgHpKUfh9vuC;2GThBgzZoZfz0lx1JjBwfe;1.000
7iL6o9tox1zgHpKUfh9vuC;2tGvwE8GcFKwNdAXMnlbfl;1.000
7iL6o9tox1zgHpKUfh9vuC;6HU7h9RYOaPRFeh0R3UeAr;1.000
7iL6o9tox1zgHpKUfh9vuC;4ZtFanR9U6ndgddUvNcjcG;1.000
7iL6o9tox1zgHpKUfh9vuC;5CZ40GBx1sQ9agT82CLQCT;1.000
7iL6o9tox1zgHpKUfh9vuC;5wANPM4fQCJwkGd4rN57mH;1.000
7iL6o9tox1zgHpKUfh9vuC;5O2P9iiztwhomNh8xkR9lJ;1.000
7iL6o9tox1zgHpKUfh9vuC;0kTMK4gNFfLXaTb62w1UaJ;1.000
7iL6o9tox1zgHpKUfh9vuC;5fhcuVxuBWfgNXGuyAtLmr;1.000
7iL6o9tox1zgHpKUfh9vuC;0WtM2NBVQNNJLh6scP13H8;1.000
7iL6o9tox1zgHpKUfh9vuC;4cG7HUWYHBV6R6tHn1gxrl;1.000
7iL6o9tox1zgHpKUfh9vuC;2eAvDnpXP5W0cVtiI0PUxV;1.000
7iL6o9tox1zgHpKUfh9vuC;45bE4HXI0AwGZXfZtMp8JR;1.000
7iL6o9tox1zgHpKUfh9vuC;5HCyWlXZPP0y6Gqq8TgA20;1.000
7iL6o9tox1zgHpKUfh9vuC;2374M0fQpWi3dLnB54qaLX;1.000
7iL6o9tox1zgHpKUfh9vuC;4HlFJV71xXKIGcU3kRyttv;1.000
7iL6o9tox1zgHpKUfh9vuC;1KIJclzEbNhSVw8tiHPWwE;1.000
7iL6o9tox1zgHpKUfh9vuC;2vWBUC9djv6BtiGlmKiQaH;1.000
7iL6o9tox1zgHpKUfh9vuC;4cacyP5c3PMlfnyjpg13xW;1.000
7iL6o9tox1zgHpKUfh9vuC;6GomT970rCOkKAyyrwJeZi;1.000
7ycWLEP1GsNjVvcjawXz3z;2vmfvSoZBFAt9hhRoEByLi;1.000
7ycWLEP1GsNjVvcjawXz3z;7DbdUf8aHSYoliSjO6LZv6;1.000
7ycWLEP1GsNjVvcjawXz3z;1ei3hzQmrgealgRKFxIcWn;1.000
7ycWLEP1GsNjVvcjawXz3z;1xzi1Jcr7mEi9K2RfzLOqS;1.000
7ycWLEP1GsNjVvcjawXz3z;2tTmW7RDtMQtBk7m2rYeSw;1.000
7ycWLEP1GsNjVvcjawXz3z;2GiJYvgVaD2HtM8GqD9EgQ;1.000
7ycWLEP1GsNjVvcjawXz3z;6Z8R6UsFuGXGtiIxiD8ISb;1.000
7ycWLEP1GsNjVvcjawXz3z;5IgjP7X4th6nMNDh4akUHb;1.000
7ycWLEP1GsNjVvcjawXz3z;4xqrdfXkTW4T0RauPLv3WA;1.000
7ycWLEP1GsNjVvcjawXz3z;3F5CgOj3wFlRv51JsHbxhe;1.000
7ycWLEP1GsNjVvcjawXz3z;03a359wbiUsjN9h6yzXvmS;1.000
7ycWLEP1GsNjVvcjawXz3z;58HvfVOeJY7lUuCqF0m3ly;1.000
7ycWLEP1GsNjVvcjawXz3z;7lQ8MOhq6IN2w8EYcFNSUk;1.000
7ycWLEP1GsNjVvcjawXz3z;7w87IxuO7BDcJ3YUqCyMTT;1.000
7ycWLEP1GsNjVvcjawXz3z;3B54sVLJ402zGa6Xm4YGNe;1.000
7ycWLEP1GsNjVvcjawXz3z;3FAJ6O0NOHQV8Mc5Ri6ENp;1.000
7ycWLEP1GsNjVvcjawXz3z;0qOnSQQF0yzuPWsXrQ9paz;1.000
7ycWLEP1GsNjVvcjawXz3z;4LRPiXqCikLlN15c3yImP7;1.000
7ycWLEP1GsNjVvcjawXz3z;2gYj9lubBorOPIVWsTXugG;1.000
7ycWLEP1GsNjVvcjawXz3z;68Dni7IE4VyPkTOH9mRWHr;1.000
7ycWLEP1GsNjVvcjawXz3z;5uCax9HTNlzGybIStD3vDh;1.000
7ycWLEP1GsNjVvcjawXz3z;6xGruZOHLs39ZbVccQTuPZ;1.000
7ycWLEP1GsNjVvcjawXz3z;7KXjTSCq5nL1LoYtL7XAwS;1.000
7ycWLEP1GsNjVvcjawXz3z;7qEHsqek33rTcFNT9PFqLf;1.000
7ycWLEP1GsNjVvcjawXz3z;38T0tPVZHcPZyhtOcCP7pF;1.000
7ycWLEP1GsNjVvcjawXz3z;6i1g5ZRmJZAkDwBaUZ3f2i;1.000
7ycWLEP1GsNjVvcjawXz3z;5ww2BF9slyYgNOk37BlC4u;1.000
7ycWLEP1GsNjVvcjawXz3z;6FE2iI43OZnszFLuLtvvmg;1.000
7ycWLEP1GsNjVvcjawXz3z;5jt25aFjW2kNoBqaEVaz5W;1.000
7ycWLEP1GsNjVvcjawXz3z;6foY66mWZN0pSRjZ408c00;1.000
7ycWLEP1GsNjVvcjawXz3z;3cBsEDNhFI9E82vPj3kvi3;1.000
7ycWLEP1GsNjVvcjawXz3z;5uU1uuyaUIBOiiUSQG7Wl3;1.000
7ycWLEP1GsNjVvcjawXz3z;3Wrjm47oTz2sjIgck11l5e;1.000
7ycWLEP1GsNjVvcjawXz3z;2GThBgzZoZfz0lx1JjBwfe;1.000
